model,lr_scheduler,initial_lr,train_loss,test_loss,test_error
MoreFCDropout(dropout_rate=0.3),None,0.00015,"[[1.5612083673477173, 1.2102960348129272, 1.0900261402130127], [0.9355559349060059, 1.1574747562408447, 0.8316567540168762], [0.6635770797729492, 0.6352065205574036, 1.0021238327026367], [0.5677371621131897, 0.7855682969093323, 0.8467254638671875], [0.4574706256389618, 0.33677953481674194, 0.7749711871147156], [0.7060498595237732, 0.17790807783603668, 0.5125252604484558], [0.40802887082099915, 0.6845244765281677, 0.4907363951206207], [0.34967854619026184, 0.39285704493522644, 0.3641490042209625], [0.38302648067474365, 0.8725742697715759, 0.9030884504318237], [0.31822460889816284, 1.08927321434021, 0.569076418876648], [0.42664504051208496, 0.33633774518966675, 0.4339638352394104], [0.2698882222175598, 0.4490715563297272, 0.3305516242980957], [0.5387799143791199, 0.6466633081436157, 0.8417112231254578], [0.5672656893730164, 0.4159017503261566, 0.3796004056930542], [0.2003912776708603, 0.11454769223928452, 0.397969126701355], [0.5562644004821777, 0.10518870502710342, 0.6953641176223755], [0.5392498970031738, 1.0254794359207153, 0.3785223066806793], [0.1263040155172348, 0.2613825798034668, 0.29685503244400024], [0.28528717160224915, 0.5606838464736938, 0.2693631649017334], [0.19143980741500854, 0.21820393204689026, 0.3797433078289032], [0.07704511284828186, 0.25509968400001526, 0.3638479709625244], [0.17322520911693573, 0.34907805919647217, 0.05814625322818756], [0.0624060332775116, 0.13572780787944794, 0.38972410559654236], [0.07939784228801727, 0.2685120105743408, 0.5249612927436829], [0.15225867927074432, 0.060831405222415924, 0.10369835793972015], [0.1520763486623764, 0.25344032049179077, 0.18656432628631592], [0.14116187393665314, 0.0703897476196289, 0.26597151160240173], [0.061450570821762085, 0.09695993363857269, 0.17604996263980865], [0.06967384368181229, 0.15568985044956207, 0.33662307262420654], [0.2182622104883194, 0.2520507574081421, 0.11509197950363159]]","[[1.033223951278731, 1.0427055559879126, 1.1003607248151026], [0.9979689426200334, 0.8991677899693333, 0.79206690850646], [0.7317265175109686, 0.6994345541610274, 0.6780233812886615], [0.6086956302440444, 0.692769005894661, 0.7831038562364356], [0.6163378290312235, 0.6088235031726749, 0.5512887901344965], [0.5987272240048231, 0.5281194415549899, 0.6141963999631793], [0.557728310657102, 0.6302457950836005, 0.5367944410373998], [0.5423901888520218, 0.5631838801295258, 0.5461605315984681], [0.5091260630030965, 0.4903067475141481, 0.5399238853607067], [0.5462731258120648, 0.4970086985375992, 0.6028229961561602], [0.5235165485809016, 0.5116034107672613, 0.5058059040890184], [0.49870746058606824, 0.49423168720894084, 0.5008521204770997], [0.5174283995184787, 0.5693309064521346, 0.5146553863792919], [0.4782224284961473, 0.5197455348923455, 0.5322138424529586], [0.5071600784742555, 0.47467357925204345, 0.4836304594957551], [0.576716408826584, 0.49364663227352984, 0.4836045719336632], [0.5002111994423145, 0.6829736633009689, 0.5181393300204776], [0.5052688671925734, 0.5256801474579545, 0.5379713151690572], [0.5174334880484398, 0.48258820193451507, 0.5093826523353887], [0.5628150475406369, 0.5692706830626311, 0.5551274761037771], [0.5338184188775241, 0.5498861855892248, 0.6607759764721227], [0.5549298050964988, 0.5365780989617802, 0.5766004968521207], [0.656704539216535, 0.620927125172213, 0.5840593228159949], [0.6520498187909293, 0.7564515091782046, 0.5883939236749051], [0.5977840356658711, 0.6938640954362791, 0.5864862210528795], [0.6437477961529133, 0.6486457681586576, 0.6274588970943938], [0.5624634143571521, 0.680242930040803, 0.7182090729475021], [0.5946489291828733, 0.6129355435801107, 0.7249364294978076], [0.6697514457844718, 0.7936327877822656, 0.7158698004258927], [0.7662203253441772, 0.7043625103786241, 0.8128330343901071]]","[0.5662385321100918, 0.25211009174311927, 0.20917431192660552, 0.20366972477064216, 0.1757798165137615, 0.17834862385321104, 0.17064220183486234, 0.1871559633027523, 0.15926605504587155, 0.17027522935779815, 0.16587155963302758, 0.15266055045871563, 0.16917431192660548, 0.16954128440366978, 0.18825688073394498, 0.18238532110091743, 0.15486238532110097, 0.15926605504587155, 0.1460550458715596, 0.15669724770642202, 0.15266055045871563, 0.14165137614678902, 0.1614678899082569, 0.16000000000000003, 0.1611009174311927, 0.1537614678899083, 0.17137614678899082, 0.14311926605504588, 0.15082568807339447, 0.153394495412844]"
MoreFCDropout(dropout_rate=0.3),ExponentialLR(gamma=0.9),0.00015,"[[0.09485122561454773, 0.13910263776779175, 0.057099275290966034], [0.027531825006008148, 0.33117201924324036, 0.06204470992088318], [0.0032699014991521835, 0.150099977850914, 0.2037215679883957], [0.016261819750070572, 0.06000445783138275, 0.12288224697113037], [0.0004883961519226432, 0.3018011152744293, 0.09772057086229324], [0.02315574325621128, 0.011369967833161354, 0.02133896015584469], [0.007151887286454439, 0.010132253170013428, 0.05452026054263115], [0.08841151744127274, 0.027080487459897995, 0.011038905940949917], [0.011036105453968048, 0.001650421996600926, 0.016567084938287735], [0.0013149213045835495, 0.04514221101999283, 0.00034547527320683], [0.002995079616084695, 0.022316860035061836, 0.004205235745757818], [4.564264600048773e-05, 0.3571072220802307, 0.011856221593916416], [0.10100867599248886, 0.002002907218411565, 0.0005513571668416262], [9.568065433995798e-05, 0.0009091312531381845, 0.05758630856871605], [0.004508695099502802, 0.0038376119919121265, 0.0018332991749048233], [0.007117559667676687, 0.0028182228561490774, 0.00010859999019885436], [0.002820327877998352, 0.0010526780970394611, 0.0004198529932182282], [0.06259983032941818, 0.0001302146993111819, 0.0003542349149938673], [0.0006904361071065068, 0.004480437841266394, 0.0017806014511734247], [7.959874346852303e-05, 0.024116963148117065, 0.00024848809698596597], [0.01670229621231556, 4.048444679938257e-05, 1.1212938488824875e-06], [0.00012518897710833699, 1.637127934372984e-05, 2.778980388029595e-06], [7.186046423157677e-05, 0.004468398634344339, 0.00036648131208494306], [2.3771892301738262e-05, 0.0005601071752607822, 0.015215398743748665], [8.995396456157323e-06, 0.0010490799322724342, 0.00022296304814517498], [0.0007756034610792994, 0.0005929125472903252, 7.674034350202419e-07], [0.00017243328329641372, 0.0021434633526951075, 0.010824575088918209], [0.00041553875780664384, 8.369271381525323e-05, 0.00017947866581380367], [0.0003282609977759421, 0.00016785446496214718, 0.0014373830053955317], [3.431997902225703e-05, 0.00018516401178203523, 0.0008227861253544688]]","[[0.8166834512335617, 0.8407956687516944, 0.835856340511507], [0.9082559455134689, 0.8940614231450613, 0.7308096205599086], [0.8206401527426097, 0.8008799322902463, 0.9583224511421196], [0.8957431659882151, 0.9865216865789058, 1.1634747297611348], [0.9324149314400761, 0.9521405060753919, 0.8769675246331581], [1.1208397218481052, 0.8884507092798866, 0.827896880428916], [0.8621176320106484, 1.003773847921091, 0.948152108507794], [0.898236085509145, 0.9455443315727766, 1.0290787739592582], [1.0873540014547403, 1.205730228273328, 1.1113714778059445], [1.0170698944739132, 1.0182033558701014, 1.439456612478162], [1.1979226043751074, 1.2004404061278977, 1.265924307669318], [1.3530820931936072, 1.2680287210999923, 1.260206212571194], [1.1360756278384563, 1.317390222015769, 1.1819371538626593], [1.1592649788010951, 1.1206602712573355, 1.1713479019750213], [1.209679887001944, 1.4447231205386044, 1.1851825528929747], [1.288528053062903, 1.329528143412845, 1.3961046258064862], [1.3853529440640096, 1.408818591819253, 1.4666504998539769], [1.5076121590858282, 1.4152088644047982, 1.4547787490226383], [1.4196111660364061, 1.3534944639649502, 1.2537803243260917], [1.3775011730748554, 1.1679232449725616, 1.490905878329], [1.4196062620240957, 1.3883876181943442, 1.5074850842623608], [1.4293400767437985, 1.4824415858791664, 1.5701280279994705], [1.485453549948393, 1.5552836248670099, 1.4838227785603946], [1.507356944596828, 1.555932911011094, 1.4411012696286347], [1.465040908993911, 1.5242963265140304, 1.6229712388066704], [1.8226987088835516, 1.8599515461990999, 1.7248599676545275], [1.6712102774134845, 1.7327416941756384, 1.6809463358895724], [1.6625527076769706, 1.6743251823841832, 1.6565363269819076], [1.6680662318371062, 1.8479688756687696, 1.8353563203573833], [1.7589136022467946, 1.7047946179448086, 1.7205756215855132]]","[0.16550458715596328, 0.15816513761467887, 0.15266055045871563, 0.15155963302752296, 0.1577981651376147, 0.14899082568807342, 0.1574311926605505, 0.14422018348623855, 0.14422018348623855, 0.13981651376146786, 0.15633027522935783, 0.1423853211009174, 0.14532110091743122, 0.1460550458715596, 0.1460550458715596, 0.1423853211009174, 0.1420183486238532, 0.14018348623853216, 0.14678899082568808, 0.14091743119266054, 0.14165137614678902, 0.1420183486238532, 0.1390825688073395, 0.14458715596330274, 0.14422018348623855, 0.14055045871559635, 0.14091743119266054, 0.14091743119266054, 0.1420183486238532, 0.1420183486238532]"
LittleModel,None,0.00015,"[[0.8962624669075012, 0.7214067578315735, 0.9854512810707092], [0.582709014415741, 0.44016537070274353, 0.37970516085624695], [0.30452173948287964, 0.5351022481918335, 0.46517765522003174], [0.5098627209663391, 0.5632593631744385, 0.2044622004032135], [0.7714409232139587, 0.5041111707687378, 0.3643282651901245], [0.5608227252960205, 0.19041167199611664, 0.4621637165546417], [0.2452758252620697, 0.18041320145130157, 0.2515811026096344], [0.10212823003530502, 0.314195841550827, 0.4289245307445526], [0.476345032453537, 0.2025192826986313, 0.3494110703468323], [0.06478424370288849, 0.08065269142389297, 0.36459076404571533], [0.03233097493648529, 0.21949750185012817, 0.06551474332809448], [0.04605735465884209, 0.08345864713191986, 0.2082979381084442], [0.28464943170547485, 0.10478739440441132, 0.08214008063077927], [0.1570599377155304, 0.23320375382900238, 0.13986916840076447], [0.05941355973482132, 0.035401035100221634, 0.13363751769065857], [0.07663934677839279, 0.06344198435544968, 0.09373306483030319], [0.08467897027730942, 0.3948754370212555, 0.08830399811267853], [0.01584034413099289, 0.4237951934337616, 0.04093325883150101], [0.0027551387902349234, 0.07380755245685577, 0.03977440297603607], [0.0005847252323292196, 0.09748625755310059, 0.01184964831918478], [0.01729276031255722, 0.2595236003398895, 40.60332107543945], [0.5982958674430847, 0.4752243161201477, 0.4087144732475281], [0.4392862319946289, 0.3842308223247528, 0.4333640933036804], [0.3742131292819977, 0.3775927424430847, 0.2828293740749359], [0.8384413123130798, 0.4403182566165924, 0.3273549973964691], [0.24620120227336884, 0.1018834039568901, 0.39146849513053894], [1.2725013494491577, 0.10771634429693222, 0.23367886245250702], [0.6471643447875977, 0.19176095724105835, 0.14753343164920807], [0.17738951742649078, 0.21021535992622375, 0.06476438045501709], [0.19062192738056183, 0.043855905532836914, 0.6359114050865173]]","[[1.00909893873126, 0.8386134664679683, 0.7325436178334924], [0.6646194814942604, 0.631003389524859, 0.6495496817799502], [0.6413213480697122, 0.5720136668099913, 0.5697845425023589], [0.5492853209982778, 0.5293845392243807, 0.5201430102853581], [0.4901283518952686, 0.47967569322087045, 0.48040060556038866], [0.6064806084993274, 0.5434883259410082, 0.5092210929061092], [0.48991892694733863, 0.49431509975084037, 0.5277188004449357], [0.5642800509583118, 0.5402286212111629, 0.4837464880804683], [0.6070363709573136, 0.5090238033079131, 0.6938775319952605], [0.627445533785016, 0.5609862638940645, 0.6213707495047602], [0.599925508592711, 0.5820925870347161, 0.6577563265035319], [0.6330184388992398, 0.636757618011257, 0.6946442730205004], [0.7624394933498183, 0.6896079098589198, 0.644054917900195], [0.8758155972761816, 0.6916812446921371, 0.7401657140012398], [0.8027960823978796, 0.722246473438518, 0.753037462054297], [0.8502313754586286, 0.8090838290924249, 0.7754309126284233], [0.8774934897069321, 0.9311960519042386, 0.9242834598692351], [0.8941244162879017, 0.8652514291623997, 0.7900906264088875], [0.8060700404782628, 0.8041649477713373, 0.9268474723537301], [0.9362115438940913, 0.9940255104975645, 1.097106778761372], [0.9224646701369175, 1.0387056890961737, 30.70494777102803], [2.1968140934788902, 1.4683518093512502, 1.3567336686821871], [0.7620381201769031, 0.7705553465111311, 0.827768893046088], [0.8586967805790346, 0.6787969345270202, 0.5866582372853922], [0.5806558060264865, 0.5554002837039703, 0.6211069539882416], [0.577310305955105, 0.5777857915260071, 0.5955828951541767], [0.8654363534824793, 0.5550754820538122, 0.6025409688090169], [0.5413558029158171, 0.5671903682482797, 0.5838825584844102], [0.5622586300163421, 0.6055073968546335, 0.6330068100157172], [0.5780047280497329, 0.592250281295111, 0.726953768106394]]","[0.24073394495412848, 0.23853211009174313, 0.18091743119266057, 0.1614678899082569, 0.16587155963302758, 0.1607339449541284, 0.15926605504587155, 0.1574311926605505, 0.1611009174311927, 0.16000000000000003, 0.171743119266055, 0.16733944954128444, 0.15559633027522934, 0.16036697247706422, 0.15816513761467887, 0.17100917431192664, 0.20513761467889913, 0.15155963302752296, 0.17027522935779815, 0.17064220183486234, 0.384954128440367, 0.18568807339449545, 0.28293577981651374, 0.16293577981651375, 0.16256880733944956, 0.1493577981651376, 0.15302752293577981, 0.14348623853211007, 0.1607339449541284, 0.15486238532110097]"
LittleModel,ExponentialLR(gamma=0.9),0.00015,"[[0.44910958409309387, 0.15589798986911774, 0.17152848839759827], [0.014592190273106098, 0.09695059806108475, 0.15246959030628204], [0.022036399692296982, 1.170222520828247, 1.5614575147628784], [0.1192372664809227, 0.0850980207324028, 0.007582847028970718], [0.2242431342601776, 0.02261577546596527, 0.018394866958260536], [0.010219923220574856, 0.01427012961357832, 0.010115562938153744], [0.00980375800281763, 0.009594902396202087, 0.023899510502815247], [0.004208481404930353, 0.004445326514542103, 0.008110702969133854], [0.009432411752641201, 0.006031581200659275, 0.00394570454955101], [0.003838353091850877, 0.002294981386512518, 0.010778486728668213], [0.00215146504342556, 0.0018819229444488883, 0.00861725676804781], [0.0038313360419124365, 0.002123419428244233, 0.0011289980029687285], [0.0028955277521163225, 0.0037459370214492083, 0.004133269656449556], [0.0014502874109894037, 0.0035718996077775955, 0.001002350589260459], [0.00217376253567636, 0.001133057870902121, 0.0012477859854698181], [0.002373026218265295, 0.0014695473946630955, 0.002986544743180275], [0.0008766145328991115, 0.002329349284991622, 0.002271166304126382], [0.0015715566696599126, 0.0010298656998202205, 0.0819944366812706], [0.0012096730060875416, 0.001196688855998218, 0.0025620521046221256], [0.0016994270263239741, 0.0003451906668487936, 0.0009176392923109233], [0.0013196616200730205, 0.0007562745595350862, 0.0004597871738951653], [0.0005473883356899023, 0.0007519046193920076, 0.00048578233690932393], [0.0006206225953064859, 0.0005918469396419823, 0.0005449955351650715], [0.00019423154299147427, 0.00036372148315422237, 0.00028685404686257243], [0.0007362105534411967, 0.0005509955226443708, 0.0001343281037406996], [0.00034168901038356125, 0.0007059301133267581, 0.00013062574726063758], [0.0005342616350390017, 0.00040653764153830707, 0.0002432159672025591], [0.0005646071513183415, 0.00027566184871830046, 0.0005732827703468502], [0.0011816888581961393, 0.0002208063961006701, 0.0006032990058884025], [0.0005622393218800426, 0.00048498983960598707, 0.000499950023368001]]","[[1.0251150315757407, 0.633929951435908, 0.7890113301055376], [0.6312141052209014, 0.6693698057883181, 0.7031445777866729], [0.7953549958630141, 1.504820401984711, 1.3801255737638458], [0.6439096232832864, 0.6529256224559166, 0.6207497844169306], [0.6551549522596043, 0.7017367398149745, 0.6673527761947277], [0.6534069072195264, 0.6986503196490366, 0.6971176824597425], [0.6952615736355615, 0.7191090044500523, 0.7303760884611239], [0.7191411183367289, 0.7452678720705038, 0.7649554345150327], [0.7735020779073238, 0.7582072067334381, 0.784612582325069], [0.7791823435612504, 0.7953171832703574, 0.81596045542595], [0.7918948473105597, 0.8194278383324313, 0.8443743419335332], [0.8282011602463764, 0.8541812945947831, 0.8372122885572703], [0.826296430470985, 0.8568981481300799, 0.9271181316743063], [0.8457633679689363, 0.8705739572665893, 0.9481106419549432], [0.886145030689794, 0.9259519395093585, 0.8996396841207888], [0.8911010313259308, 0.8823648104660733, 0.9294602031667911], [0.9276504086893659, 0.9089344830013985, 0.8859222981818887], [0.9051536822388339, 0.8989255258014076, 0.9269670552010972], [0.9243151560492765, 0.9121941446215334, 0.9477975397955539], [0.9365131114284659, 0.9304557310601393, 0.9446068718856158], [0.9416588675014155, 0.9462792010068201, 0.9720084220170975], [0.9596999706592151, 1.0051495946597222, 0.9688515871936498], [1.0006668306020803, 0.9898045342848745, 0.9848408630296458], [1.0060206650821275, 1.0035423016998657, 1.0142883686998556], [0.9748495470754109, 1.0074053535801033, 0.9895997948208174], [1.0032015008808568, 1.05888828825812, 1.0065417240135546], [1.0294935936812137, 1.0245382044421032, 1.0427366517657457], [1.025292597797721, 1.0527338518999343, 1.0600763850867054], [1.081655868567353, 1.034668902238441, 1.0420730182424534], [1.0484448080492574, 1.0518665136986, 1.0424121714381198]]","[0.15119266055045877, 0.1464220183486239, 0.15669724770642202, 0.14788990825688075, 0.15045871559633028, 0.14532110091743122, 0.1456880733944954, 0.1460550458715596, 0.15045871559633028, 0.14422018348623855, 0.14788990825688075, 0.14825688073394494, 0.14825688073394494, 0.14862385321100913, 0.1500917431192661, 0.14788990825688075, 0.15045871559633028, 0.15119266055045877, 0.14715596330275227, 0.14752293577981657, 0.1497247706422018, 0.14752293577981657, 0.14752293577981657, 0.14715596330275227, 0.14825688073394494, 0.1497247706422018, 0.1464220183486239, 0.14825688073394494, 0.1456880733944954, 0.1460550458715596]"
